Day;1;2;3;4;5;8;9;10;11;12
Week;1;1;1;1;1;2;2;2;2;2
Music;0;0;0;0;0;1;1;1;1;1
Standing;0;1;6;6;5;7;1;4;4;3
Walking;10;10;9;8;16;17;9;3;20;8
Pecking;5;0;9;11;14;27;29;36;23;27
Approaching;0;9;0;0;6;0;13;10;11;12
Appr_1m;2;1;1;15;10;7;5;9;7;5
Appr_2m;3;0;8;2;3;0;10;11;7;3
Appr_3m;17;18;11;16;18;10;12;12;17;15
Appr_4m;1;0;1;4;0;0;10;6;3;0
Hopping;2;0;13;9;5;6;5;9;4;7
Flight;0;0;1;3;0;3;5;7;17;1
Flying up the wall;5;7;15;3;3;0;0;2;1;0
Warning;3;4;0;0;0;0;0;0;0;0
Single;13;26;32;14;20;10;0;21;18;1
Multiple;0;0;1;0;0;0;0;0;0;0
Leave-me-alone;4;1;0;3;1;1;3;8;0;0
Listening;0;2;0;5;0;33;42;31;25;23
Drinking;2;0;0;2;1;0;7;7;12;0
Eating;7;21;10;6;22;21;3;24;23;13
Flying;4;0;0;1;0;0;0;0;0;0
Food walking;2;1;4;0;0;2;0;0;0;0
Caching;3;1;0;0;3;0;0;0;0;0
Begging;18;4;23;0;0;5;0;0;0;0
Chasing and begging;1;0;0;0;0;0;0;0;0;0
Feeding;1;0;0;0;0;0;0;0;0;0
Running away;4;0;0;0;0;0;0;0;0;0
Shared grooming;1;0;1;1;1;5;17;2;8;1
Aggression;0;0;0;2;0;0;0;4;1;0
Getting nearer;0;0;1;0;3;1;0;3;11;1
Sleeping;0;0;0;0;0;0;3;0;1;0
Passive looking down;0;0;3;6;0;0;4;5;2;0
Beak cleaning;1;2;5;1;2;1;1;3;1;0
Grooming;1;13;11;2;16;30;3;4;10;9
Shaking off;3;13;8;5;11;4;2;1;1;0
